IOC_TYPE,INDICATOR,DEFANGED,THREAT_TYPE,DESCRIPTION,CONFIDENCE,FIRST_SEEN,LAST_SEEN,MITRE_TECHNIQUE,MITRE_TACTIC,SOURCE,ACTION,STATUS
IP_ADDRESS,192.168.29.50,192[.]168[.]29[.]50,Command & Control,"Attacker C2 Server hosting phishing infrastructure and credential harvesting page",HIGH,2026-03-06 20:52:33,2026-03-06 21:05:00,T1071.001,Command and Control,"Email Headers, Sandbox Analysis",Firewall Blocked,ACTIVE
DOMAIN,IT-Security.contoso.com,IT-Security[.]contoso[.]com,Phishing,"Fraudulent domain impersonating legitimate IT department (no MX records - send-only infrastructure)",HIGH,2026-03-06 20:52:33,2026-03-06 21:02:00,T1566.002,Initial Access,"Email Headers, DNS Lookup",DNS Sinkhole,ACTIVE
URL,http://IT-Security.contoso.com/office365/login.php,hxxp[://]IT-Security[.]contoso[.]com/office365/login[.]php,Phishing,"Credential harvesting page capturing email and password via HTTP POST (no encryption)",HIGH,2026-03-06 20:52:33,2026-03-06 21:20:00,T1056.001,Credential Access,"Email Body, Sandbox Analysis",Proxy Blocked,ACTIVE
EMAIL_ADDRESS,sp@IT-Security.contoso.com,sp@IT-Security[.]contoso[.]com,Phishing,"Malicious sender address used in phishing campaign impersonating IT Security Department",HIGH,2026-03-06 20:52:33,2026-03-06 21:00:00,T1566.002,Initial Access,Email Headers,Email Gateway Blacklist,ACTIVE
EMAIL_SUBJECT,Action required: Your password expires in 24 hours,Action required: Your password expires in 24 hours,Phishing,"Social engineering subject line creating urgency to prompt user action",HIGH,2026-03-06 20:52:33,2026-03-06 21:00:00,T1566.002,Initial Access,Email Headers,Email Quarantine Rule,MONITORING
MESSAGE_ID,<5288b407-b6dc-429a-83b4-4fae5dd27b59@IT-Security.contoso.com>,<5288b407-b6dc-429a-83b4-4fae5dd27b59@IT-Security[.]contoso[.]com>,Phishing,"Unique email identifier for tracking this specific phishing email across systems",HIGH,2026-03-06 20:52:33,2026-03-06 20:52:33,N/A,N/A,Email Headers,Logged for Reference,INACTIVE
REDIRECT_URL,http://IT-Security.contoso.com/office365/expired-password.html,hxxp[://]IT-Security[.]contoso[.]com/office365/expired-password[.]html,Phishing,"Post-harvest redirect page showing fake 'password expired' message to victim after credential submission",HIGH,2026-03-06 21:08:00,2026-03-06 21:20:00,T1056.001,Credential Access,Sandbox Analysis,Proxy Blocked,ACTIVE
BODY_SIGNATURE,Our system indicates that your network password is scheduled to expire,Our system indicates that your network password is scheduled to expire,Phishing,"Phishing text pattern detected in email body - part of social engineering template",HIGH,2026-03-06 20:52:33,2026-03-06 21:00:00,N/A,N/A,Email Body,Email Content Filter,MONITORING
BODY_SIGNATURE,verify your credentials through our secure portal,verify your credentials through our secure portal,Phishing,"Phishing text pattern detected in email body - directs user to fake login page",HIGH,2026-03-06 20:52:33,2026-03-06 21:00:00,N/A,N/A,Email Body,Email Content Filter,MONITORING
BODY_SIGNATURE,"If you do not complete this verification within 24 hours, your account will be temporarily suspended","If you do not complete this verification within 24 hours, your account will be temporarily suspended",Phishing,"Phishing text pattern detected in email body - threatens account suspension to create urgency",HIGH,2026-03-06 20:52:33,2026-03-06 21:00:00,N/A,N/A,Email Body,Email Content Filter,MONITORING
USER_AGENT,Mozilla Thunderbird,Mozilla Thunderbird,Tool,"Email client used to compose and send the phishing email (legitimate tool abused for malicious purposes)",MEDIUM,2026-03-06 20:52:33,2026-03-06 20:52:33,N/A,N/A,Email Headers,Logged for Reference,INACTIVE
SMTP_SERVER,employee.contoso.com,employee[.]contoso[.]com,Infrastructure,"SMTP server used to deliver the phishing email to victim",HIGH,2026-03-06 20:52:33,2026-03-06 20:52:33,N/A,N/A,Mail Server Logs,Logged for Reference,INACTIVE
ATTACK_TIMESTAMP,2026-03-06 20:52:33,2026-03-06 20:52:33,Temporal,"Exact timestamp when phishing email was delivered to victim inbox",HIGH,2026-03-06 20:52:33,2026-03-06 20:52:33,N/A,N/A,Mail Server Logs,Logged for Reference,INACTIVE
